name,features,auc,auc_ci_lower,auc_ci_upper,recall,precision,tp,detected,cohen,pval
L25_HFER,['L25_HFER'],0.6502732240437158,0.5223665223665224,0.7857142857142857,0.5409836065573771,0.8461538461538461,33,33,0.5677087321436269,0.03211975040364045
L14_Smoothness,['L14_Smoothness'],0.6495901639344263,0.5108556832694764,0.7871572871572872,0.6885245901639344,0.84,42,42,0.4283156886976809,0.03291205876853689
L10_HFER,['L10_HFER'],0.6495901639344261,0.5134099616858238,0.7829204693611473,0.6557377049180327,0.8333333333333334,40,40,0.5214353752076333,0.03291205876853689
L11_Smoothness,['L11_Smoothness'],0.6482240437158471,0.5216262975778546,0.7819237147595356,0.6885245901639344,0.7924528301886793,42,42,0.527747569078948,0.03454696665714521
L4_Smoothness,['L4_Smoothness'],0.648224043715847,0.5143540669856459,0.7842261904761905,0.5081967213114754,0.8378378378378378,31,31,0.4863764228871291,0.03454696665714521
L19_HFER,['L19_HFER'],0.648224043715847,0.5202020202020202,0.7855280312907432,0.5573770491803278,0.8292682926829268,34,34,0.5112601772227326,0.03454696665714521
L12_Smoothness,['L12_Smoothness'],0.6482240437158469,0.5167464114832536,0.7830940988835725,0.7868852459016393,0.8135593220338984,48,48,0.4740003498684577,0.03454696665714521
L27_Entropy,['L27_Entropy'],0.6468579234972678,0.5157545605306799,0.7628524046434494,0.5737704918032787,0.8536585365853658,35,35,-0.5604587583085224,0.03625075582527111
L5_Smoothness,['L5_Smoothness'],0.6441256830601093,0.5163690476190476,0.7800546448087431,0.8524590163934426,0.7878787878787878,52,52,0.47435168799643534,0.03987391675279464
L6_Smoothness,['L6_Smoothness'],0.6434426229508197,0.5144927536231885,0.7768166089965398,0.8524590163934426,0.7878787878787878,52,52,0.4983178013976682,0.04082628001081308
L8_Smoothness,['L8_Smoothness'],0.6434426229508197,0.5217113665389528,0.776,0.5245901639344263,0.8421052631578947,32,32,0.5197270947049204,0.04082628001081308
L14_Fiedler,['L14_Fiedler'],0.6420765027322405,0.5,0.7807017543859649,0.9344262295081968,0.7916666666666666,57,57,-0.5455647916890002,0.0427889215651431
L9_Smoothness,['L9_Smoothness'],0.6413934426229508,0.5140961857379768,0.7792307692307694,0.5901639344262295,0.8181818181818182,36,36,0.49698492154150475,0.04379978781259233
L7_Smoothness,['L7_Smoothness'],0.6372950819672132,0.5084745762711864,0.7730654761904762,0.8360655737704918,0.7846153846153846,51,51,0.4927863471076141,0.05029746589415279
L25_Entropy,['L25_Entropy'],0.6366120218579235,0.5126811594202898,0.753155680224404,0.7377049180327869,0.8181818181818182,45,45,0.46583014850790855,0.05145532959059458
L4_Fiedler,['L4_Fiedler'],0.6359289617486339,0.5044642857142857,0.7655709342560554,0.8852459016393442,0.782608695652174,54,54,-0.4975506714609881,0.052635419939505414
L10_Fiedler,['L10_Fiedler'],0.6304644808743168,0.48531289910600256,0.7763347763347763,0.7704918032786885,0.8103448275862069,47,47,-0.45028660526879455,0.06291407244113036
L16_Smoothness,['L16_Smoothness'],0.6284153005464481,0.4870689655172414,0.764069264069264,0.6885245901639344,0.8076923076923077,42,42,0.36011230681767686,0.06717369687034477
L11_Entropy,['L11_Entropy'],0.6277322404371585,0.49428571428571433,0.7679425837320574,0.8360655737704918,0.796875,51,51,0.5108211118840763,0.06864526540210737
L18_Fiedler,['L18_Fiedler'],0.6270491803278688,0.496168582375479,0.7466666666666667,0.3114754098360656,0.9047619047619048,19,19,-0.4634033365944656,0.0701432253790995
L9_Fiedler,['L9_Fiedler'],0.625,0.4867330016583748,0.7655709342560554,0.6557377049180327,0.8,40,40,-0.4431722178583477,0.07479873732029453
L8_HFER,['L8_HFER'],0.6249999999999999,0.49206349206349204,0.7685714285714285,0.8688524590163934,0.7910447761194029,53,53,0.3883407163113166,0.07479873732029453
L12_HFER,['L12_HFER'],0.6236338797814208,0.47735507246376807,0.7650375939849624,0.6721311475409836,0.82,41,41,0.47895701415935465,0.07804039963761052
L21_Entropy,['L21_Entropy'],0.6222677595628415,0.4733044733044733,0.7773333333333333,0.8852459016393442,0.8059701492537313,54,54,0.5560468787312434,0.08139553572919217
L21_Smoothness,['L21_Smoothness'],0.6209016393442622,0.48875432525951557,0.7512531328320802,0.6721311475409836,0.7884615384615384,41,41,-0.4441532715931814,0.08486679412028487
L1_HFER,['L1_HFER'],0.6188524590163935,0.4873772791023843,0.7544642857142857,0.5245901639344263,0.8421052631578947,32,32,0.3335957841191621,0.09029720789297054
L16_Fiedler,['L16_Fiedler'],0.6188524590163934,0.49185463659147866,0.7562189054726368,0.9016393442622951,0.7746478873239436,55,55,-0.4540695076126165,0.09029720789297054
L22_Smoothness,['L22_Smoothness'],0.6181693989071039,0.4823076923076923,0.7522816166883963,0.7540983606557377,0.7796610169491526,46,46,-0.45713006264106676,0.09216827693780225
L24_Smoothness,['L24_Smoothness'],0.6174863387978142,0.479679802955665,0.745674740484429,0.2459016393442623,0.9375,15,15,-0.4685350052730003,0.09407036243941642
L15_Smoothness,['L15_Smoothness'],0.6174863387978141,0.47693452380952384,0.7535885167464114,0.5573770491803278,0.8292682926829268,34,34,0.336612008343171,0.09407036243941642
L11_Fiedler,['L11_Fiedler'],0.6161202185792349,0.48292349726775957,0.7515384615384616,0.6229508196721312,0.8260869565217391,38,38,-0.3889638775258764,0.09796890171107019
L15_Entropy,['L15_Entropy'],0.6147540983606558,0.484375,0.7592592592592593,0.9672131147540983,0.7763157894736842,59,59,0.5955051559541799,0.10199545699609126
L25_Fiedler,['L25_Fiedler'],0.6140710382513661,0.492822966507177,0.7479091995221028,0.21311475409836064,1.0,13,13,-0.4182683762458392,0.10405755951857729
L18_Entropy,['L18_Entropy'],0.6133879781420766,0.46875,0.7635467980295567,0.7377049180327869,0.8035714285714286,45,45,0.5449673472245311,0.10615264679510045
L23_Smoothness,['L23_Smoothness'],0.6133879781420765,0.4786666666666667,0.7471846846846847,0.47540983606557374,0.8285714285714286,29,29,-0.46965917423005527,0.10615264679510045
L24_Fiedler,['L24_Fiedler'],0.6120218579234972,0.4852216748768473,0.7438524590163934,0.8360655737704918,0.7846153846153846,51,51,-0.46547838378100054,0.11044307336114363
L14_Entropy,['L14_Entropy'],0.6113387978142076,0.48550724637681164,0.757496740547588,0.9836065573770492,0.7792207792207793,60,60,0.5479051612635013,0.1126390583219839
L25_Smoothness,['L25_Smoothness'],0.6086065573770493,0.4749134948096886,0.7315151515151516,0.6721311475409836,0.803921568627451,41,41,-0.40521908869767204,0.12176893945690463
L23_Entropy,['L23_Entropy'],0.6072404371584699,0.4538043478260869,0.7474937343358395,0.5737704918032787,0.8333333333333334,35,35,-0.28018255574200784,0.12654586869663534
L1_Entropy,['L1_Entropy'],0.5997267759562842,0.4559999999999999,0.7293333333333333,0.7213114754098361,0.8,44,44,-0.2123422898791221,0.1554691965328112
L9_Entropy,['L9_Entropy'],0.5976775956284153,0.4602346805736636,0.7253846153846154,0.45901639344262296,0.8235294117647058,28,28,0.32421890493205785,0.16416852179951102
L20_Smoothness,['L20_Smoothness'],0.5942622950819672,0.4761570827489481,0.722470238095238,0.7213114754098361,0.7857142857142857,44,44,-0.3226812989959548,0.1794747351860898
L7_Fiedler,['L7_Fiedler'],0.5881147540983606,0.4399744572158365,0.7312599681020734,0.8360655737704918,0.7727272727272727,51,51,-0.384096184646913,0.20965684106555338
L27_HFER,['L27_HFER'],0.5874316939890711,0.4491525423728814,0.7121212121212122,0.7540983606557377,0.7796610169491526,46,46,0.3216174456188915,0.2132248104200799
L3_Entropy,['L3_Entropy'],0.587431693989071,0.45197044334975367,0.7276785714285714,0.7868852459016393,0.7868852459016393,48,48,-0.2938640550488945,0.2132248104200799
L17_Entropy,['L17_Entropy'],0.587431693989071,0.4521857923497268,0.721311475409836,0.36065573770491804,0.8461538461538461,22,22,0.30398832719357605,0.2132248104200799
L2_Fiedler,['L2_Fiedler'],0.5819672131147541,0.44270833333333337,0.718,0.9180327868852459,0.7671232876712328,56,56,-0.3098529457921908,0.24335371886580925
L27_Fiedler,['L27_Fiedler'],0.5812841530054644,0.4320066334991708,0.7194950911640953,0.45901639344262296,0.8235294117647058,28,28,-0.2626263717560224,0.2473204154026022
L13_Fiedler,['L13_Fiedler'],0.5771857923497268,0.454599761051374,0.7184615384615385,0.4098360655737705,0.8333333333333334,25,25,-0.2790392649462574,0.2720708648323493
L0_HFER,['L0_HFER'],0.5765027322404371,0.4424242424242424,0.7060931899641577,0.6229508196721312,0.7916666666666666,38,38,0.2639520240030633,0.27635531291282245
L8_Fiedler,['L8_Fiedler'],0.5765027322404371,0.44178628389154706,0.7186666666666667,0.819672131147541,0.78125,50,50,-0.3123121841483917,0.27635531291282245
L22_Fiedler,['L22_Fiedler'],0.5751366120218578,0.4329004329004329,0.7259852216748769,0.6557377049180327,0.7843137254901961,40,40,-0.31353948913666413,0.2850616026385131
L3_Fiedler,['L3_Fiedler'],0.5717213114754098,0.4264069264069264,0.7172619047619048,0.6721311475409836,0.7884615384615384,41,41,-0.16477986379965656,0.30763157894115256
L17_Smoothness,['L17_Smoothness'],0.5717213114754098,0.4328817733990148,0.7068723702664795,0.7213114754098361,0.7719298245614035,44,44,0.2109773326295803,0.30763157894115256
L5_Entropy,['L5_Entropy'],0.5703551912568305,0.4181547619047619,0.7069672131147541,0.819672131147541,0.7692307692307693,50,50,0.2126311220934508,0.3169820916544951
L20_Fiedler,['L20_Fiedler'],0.5621584699453551,0.4186851211072664,0.7061011904761905,0.6229508196721312,0.7916666666666666,38,38,-0.31419131759248303,0.37695202691047247
L19_Entropy,['L19_Entropy'],0.5566939890710382,0.4126666666666667,0.7199292452830188,0.8852459016393442,0.7941176470588235,54,54,0.34375568789494493,0.4205747889744049
L6_Fiedler,['L6_Fiedler'],0.5546448087431695,0.40550595238095244,0.6967213114754098,0.6721311475409836,0.7884615384615384,41,41,-0.2233601188037825,0.43766852119295196
L8_Entropy,['L8_Entropy'],0.5546448087431695,0.39971949509116406,0.6984615384615385,0.8360655737704918,0.7611940298507462,51,51,0.23696564126508615,0.43766852119295196
L21_Fiedler,['L21_Fiedler'],0.5539617486338798,0.40804597701149425,0.6845238095238095,0.21311475409836064,0.9285714285714286,13,13,0.3356119729966836,0.4434540575248537
L18_Smoothness,['L18_Smoothness'],0.5539617486338797,0.41200000000000003,0.6865671641791045,0.47540983606557374,0.8055555555555556,29,29,0.17558257424422719,0.4434540575248537
L10_Entropy,['L10_Entropy'],0.5519125683060109,0.39880952380952384,0.7146666666666667,0.9836065573770492,0.7792207792207793,60,60,0.38588291422578763,0.4610704153417685
L5_Fiedler,['L5_Fiedler'],0.5464480874316939,0.4067321178120617,0.6923076923076923,0.7540983606557377,0.7666666666666667,46,46,-0.2210086106712278,0.5099062752940144
L2_Entropy,['L2_Entropy'],0.5403005464480874,0.4054726368159204,0.6703869047619049,0.39344262295081966,0.8,24,24,-0.20024495162731082,0.5679188760983591
L19_Fiedler,['L19_Fiedler'],0.5389344262295082,0.4051036682615631,0.6836363636363637,0.639344262295082,0.7647058823529411,39,39,-0.18245878306608979,0.5812267453691111
L6_Entropy,['L6_Entropy'],0.5314207650273224,0.3903318903318903,0.6676923076923078,0.45901639344262296,0.8,28,28,-0.06997983542133329,0.6568952553124191
L20_Entropy,['L20_Entropy'],0.5307377049180328,0.38531187122736416,0.6819923371647509,0.8852459016393442,0.7714285714285715,54,54,0.2648122219657889,0.663968182716596
L4_Entropy,['L4_Entropy'],0.5252732240437158,0.39714285714285713,0.6477146042363433,0.36065573770491804,0.8148148148148148,22,22,-0.019470437730549007,0.7215864805874037
L24_Entropy,['L24_Entropy'],0.5191256830601093,0.3827751196172249,0.6699834162520729,0.7213114754098361,0.7457627118644068,44,44,0.09484405993208517,0.7883338577042625
L7_Entropy,['L7_Entropy'],0.508879781420765,0.37907268170426067,0.6428571428571428,0.26229508196721313,0.8,16,16,0.019637184671231246,0.9028720857486876
L26_Fiedler,['L26_Fiedler'],0.505464480874317,0.38008415147265084,0.6404853128991059,0.14754098360655737,1.0,9,9,-0.09920749302027648,0.9416307297052753
L13_Entropy,['L13_Entropy'],0.5034153005464481,0.37007389162561577,0.635343618513324,0.3114754098360656,0.7916666666666666,19,19,-0.03840299326298114,0.9649584142540419
L19_Smoothness,['L19_Smoothness'],0.5020491803278688,0.3730769230769231,0.631578947368421,0.4426229508196721,0.7714285714285715,27,27,0.016180634400565032,0.9805281231907162
L27_Smoothness,['L27_Smoothness'],0.4972677595628415,0.3688524590163934,0.6248246844319776,0.13114754098360656,0.8888888888888888,8,8,-0.032456214109833834,0.9727419702676527
L0_Fiedler,['L0_Fiedler'],0.4842896174863388,0.33990147783251234,0.629090909090909,0.8852459016393442,0.75,54,54,0.008362296357113,0.8261350145337186
L23_Fiedler,['L23_Fiedler'],0.44057377049180324,0.2923076923076923,0.5887445887445888,0.16393442622950818,0.9090909090909091,10,10,0.06358457617195572,0.3984038437383568
